fold,dist_set,p1,p10,p25,p50,p75,p90,p99,mean
0,natural_label0,30.0,90.0,218.40329,573.1492,1531.176,4707.7065,21397.594,1940.1347226257415
1,natural_label0,30.0,67.08204,180.0,450.9989,1127.6968,3118.2688,13560.025,1257.041833053066
2,natural_label0,30.0,67.08204,180.0,453.9824,1218.2365,4024.9224,14707.498,1537.9763173849153
3,natural_label0,30.0,84.85281,201.24612,480.93658,1110.4053,2556.345,15979.612,1364.0430756426424
4,natural_label0,30.0,84.85281,218.40329,615.5485,1860.242,5731.492,16365.059,1925.839601394684
0,pool_label0,30.0,30.0,60.0,150.0,313.2092,766.61597,10521.877,563.7107162434356
1,pool_label0,30.0,30.0,60.0,134.16408,295.46573,637.8088,5908.8213,405.5627245708459
2,pool_label0,30.0,30.0,60.0,127.27922,283.01944,641.3267,8970.689,466.01959591893683
3,pool_label0,30.0,30.0,60.0,150.0,305.94116,660.68146,6868.9155,438.9476187596248
4,pool_label0,30.0,30.0,60.0,134.16408,305.94116,827.58685,9835.663,556.0164666092821
0,natural_label1,30.0,30.0,30.0,42.426407,120.0,241.86774,824.09924,106.10044268487407
1,natural_label1,30.0,30.0,30.0,30.0,84.85281,174.92856,442.9447,75.76208850340274
2,natural_label1,30.0,30.0,30.0,30.0,90.0,174.92856,488.36462,77.70892534347666
3,natural_label1,30.0,30.0,30.0,42.426407,94.86833,210.0,824.0829,95.1690898290789
4,natural_label1,30.0,30.0,30.0,42.426407,94.86833,189.73666,524.78564,86.41299382489655
0,natural_label2,30.0,94.86833,247.38634,720.0,1952.0758,3442.7273,9179.255,1455.4157935175197
1,natural_label2,30.0,60.0,150.0,330.0,660.68146,1320.0,16768.887,862.1510814675206
2,natural_label2,30.0,60.0,150.0,330.0,637.8088,1326.1222,5752.886,685.6746922951097
3,natural_label2,30.0,67.08204,161.55495,402.49225,1020.0,2997.2236,13445.046,1294.0341456627925
4,natural_label2,30.0,84.85281,210.0,579.39624,1680.1339,2564.7808,11768.218,1208.892933616921
