run_id,n_estimators,learning_rate,num_leaves,feature_fraction,early_stopping_rounds,best_iteration,avg_precision,pr_auc,accuracy,roc_auc,precision,recall,f1,best_threshold
0,100,0.05,31,0.7,10,100,0.07672220129617566,0.07669740276177614,0.9883101857466491,0.9386899047669245,0.10413848389197855,0.2505575311916099,0.14712700631757772,0.0689716985661159
1,100,0.05,31,0.7,30,100,0.07672220129617566,0.07669740276177614,0.9883101857466491,0.9386899047669245,0.10413848389197855,0.2505575311916099,0.14712700631757772,0.0689716985661159
2,100,0.05,31,1.0,10,100,0.08132833556577938,0.08131341343590491,0.990020422914413,0.9382083040139169,0.1169937291361183,0.22602615876077392,0.15418139955595758,0.07697662414672685
3,100,0.05,31,1.0,30,100,0.08132833556577938,0.08131341343590491,0.990020422914413,0.9382083040139169,0.1169937291361183,0.22602615876077392,0.15418139955595758,0.07697662414672685
4,100,0.05,63,0.7,10,97,0.0810919629545882,0.08106833506394062,0.9896211816184068,0.940531851612978,0.11467525591246029,0.23497679464770055,0.15413050783798207,0.07530002974904162
5,100,0.05,63,0.7,30,97,0.0810919629545882,0.08106833506394062,0.9896211816184068,0.940531851612978,0.11467525591246029,0.23497679464770055,0.15413050783798207,0.07530002974904162
6,100,0.05,63,1.0,10,32,0.07411762916343385,0.07410256348176593,0.9888652669774571,0.932131820106822,0.10567235650969156,0.23675486709661864,0.1461241571727505,0.054257192385841604
7,100,0.05,63,1.0,30,100,0.08181556794540155,0.08179741400714388,0.9891988978417685,0.94150130544139,0.11472697186982901,0.2507383521186185,0.157423700592231,0.07380687287460759
8,100,0.1,31,0.7,10,55,0.06537979215533721,0.06541507893797073,0.9857718745906928,0.9333111546181886,0.08891299249530957,0.2742149358085709,0.1342847444619903,0.05276150747107025
9,100,0.1,31,0.7,30,55,0.06537979215533721,0.06541507893797073,0.9857718745906928,0.9333111546181886,0.08891299249530957,0.2742149358085709,0.1342847444619903,0.05276150747107025
10,100,0.1,31,1.0,10,38,0.06945480537814436,0.07004547894620394,0.9913283868808243,0.9271237593559307,0.11373853442193327,0.1700319450304382,0.13630159324531632,0.0933532763690973
11,100,0.1,31,1.0,30,38,0.06945480537814436,0.07004547894620394,0.9913283868808243,0.9271237593559307,0.11373853442193327,0.1700319450304382,0.13630159324531632,0.0933532763690973
12,100,0.1,63,0.7,10,37,0.06470381408080615,0.0646910107344291,0.989093266259502,0.9337702257244143,0.09700188890940337,0.20583448857814476,0.13186219146081302,0.07123211300705738
13,100,0.1,63,0.7,30,63,0.06566839682458916,0.06567327912315954,0.9892715422938668,0.9343940494123157,0.10027621512964757,0.20896871797962752,0.1355210053649432,0.07905271836691692
14,100,0.1,63,1.0,10,37,0.06601136020152742,0.06619500922811217,0.9898774382582796,0.9302252300450823,0.1044600015731928,0.20010849255620516,0.13726523819860045,0.08763817970626467
15,100,0.1,63,1.0,30,37,0.06601136020152742,0.06619500922811217,0.9898774382582796,0.9302252300450823,0.1044600015731928,0.20010849255620516,0.13726523819860045,0.08763817970626467
16,300,0.05,31,0.7,10,183,0.08292158834928964,0.08289602217272686,0.9888473180978068,0.9427249912191401,0.11142989356779269,0.25399312880477365,0.15490226710899951,0.0758083531071731
17,300,0.05,31,0.7,30,235,0.08344170281233722,0.08341604911256076,0.9883818599890366,0.9438531554454923,0.11018837854999564,0.2667108673377132,0.15594851055956438,0.07371463937551644
18,300,0.05,31,1.0,10,112,0.0822416819127989,0.08222680124112727,0.9901681373428867,0.9390521505384044,0.11921119592875318,0.2259056114761015,0.15606587412296224,0.07858108537274021
19,300,0.05,31,1.0,30,204,0.08606609893971735,0.08605128277418872,0.9909829922237692,0.9422873715935798,0.12967527210578395,0.21722620697968778,0.16240269469510066,0.0888495755004905
20,300,0.05,63,0.7,10,211,0.08949619551804755,0.08947177720277306,0.9906902314435265,0.9448798053595157,0.12889766863643332,0.22810559942137304,0.16471714742717866,0.08996791550364479
21,300,0.05,63,0.7,30,211,0.08949619551804755,0.08947177720277306,0.9906902314435265,0.9448798053595157,0.12889766863643332,0.22810559942137304,0.16471714742717866,0.08996791550364479
22,300,0.05,63,1.0,10,32,0.07411762916343385,0.07410256348176593,0.9888652669774571,0.932131820106822,0.10567235650969156,0.23675486709661864,0.1461241571727505,0.054257192385841604
23,300,0.05,63,1.0,30,165,0.08571871024766481,0.08569969400956334,0.9907609354762031,0.9437992724382146,0.12887523303183043,0.2250015068410584,0.16388260860021514,0.08987436013263637
24,300,0.1,31,0.7,10,55,0.06537979215533721,0.06541507893797073,0.9857718745906928,0.9333111546181886,0.08891299249530957,0.2742149358085709,0.1342847444619903,0.05276150747107025
25,300,0.1,31,0.7,30,55,0.06537979215533721,0.06541507893797073,0.9857718745906928,0.9333111546181886,0.08891299249530957,0.2742149358085709,0.1342847444619903,0.05276150747107025
26,300,0.1,31,1.0,10,38,0.06945480537814436,0.07004547894620394,0.9913283868808243,0.9271237593559307,0.11373853442193327,0.1700319450304382,0.13630159324531632,0.0933532763690973
27,300,0.1,31,1.0,30,38,0.06945480537814436,0.07004547894620394,0.9913283868808243,0.9271237593559307,0.11373853442193327,0.1700319450304382,0.13630159324531632,0.0933532763690973
28,300,0.1,63,0.7,10,37,0.06470381408080615,0.0646910107344291,0.989093266259502,0.9337702257244143,0.09700188890940337,0.20583448857814476,0.13186219146081302,0.07123211300705738
29,300,0.1,63,0.7,30,63,0.06566839682458916,0.06567327912315954,0.9892715422938668,0.9343940494123157,0.10027621512964757,0.20896871797962752,0.1355210053649432,0.07905271836691692
30,300,0.1,63,1.0,10,37,0.06601136020152742,0.06619500922811217,0.9898774382582796,0.9302252300450823,0.1044600015731928,0.20010849255620516,0.13726523819860045,0.08763817970626467
31,300,0.1,63,1.0,30,37,0.06601136020152742,0.06619500922811217,0.9898774382582796,0.9302252300450823,0.1044600015731928,0.20010849255620516,0.13726523819860045,0.08763817970626467
