run_id,n_estimators,learning_rate,num_leaves,feature_fraction,early_stopping_rounds,best_iteration,avg_precision,pr_auc,accuracy,roc_auc,precision,recall,f1,best_threshold
0,100,0.05,31,0.7,10,100,0.0227860489189988,0.2470380364390002,0.9368267249795932,0.8653327104901818,0.0298004543357529,0.4613645952624917,0.0559847430695612,0.0282485057969217
1,100,0.05,31,0.7,30,100,0.0227860489189988,0.2470380364390002,0.9368267249795932,0.8653327104901818,0.0298004543357529,0.4613645952624917,0.0559847430695612,0.0282485057969217
2,100,0.05,31,1.0,10,100,0.0227860489189988,0.2470380364390002,0.9368267249795932,0.8653327104901818,0.0298004543357529,0.4613645952624917,0.0559847430695612,0.0282485057969217
3,100,0.05,31,1.0,30,100,0.0227860489189988,0.2470380364390002,0.9368267249795932,0.8653327104901818,0.0298004543357529,0.4613645952624917,0.0559847430695612,0.0282485057969217
4,100,0.05,63,0.7,10,33,0.0227870142014822,0.2470388561781648,0.9368267249795932,0.8653678471597376,0.0298004543357529,0.4613645952624917,0.0559847430695612,0.0239964619790513
5,100,0.05,63,0.7,30,89,0.0227880001886262,0.2470385224934095,0.9368267249795932,0.865359279998124,0.0298004543357529,0.4613645952624917,0.0559847430695612,0.0281599436607699
6,100,0.05,63,1.0,10,33,0.0227870142014822,0.2470388561781648,0.9368267249795932,0.8653678471597376,0.0298004543357529,0.4613645952624917,0.0559847430695612,0.0239964619790513
7,100,0.05,63,1.0,30,89,0.0227880001886262,0.2470385224934095,0.9368267249795932,0.865359279998124,0.0298004543357529,0.4613645952624917,0.0559847430695612,0.0281599436607699
8,100,0.1,31,0.7,10,81,0.022788412643335,0.2470385322653852,0.9368267249795932,0.8653643089048387,0.0298004543357529,0.4613645952624917,0.0559847430695612,0.0283929458776101
9,100,0.1,31,0.7,30,99,0.0227893914703237,0.2470384789641136,0.9368267249795932,0.8653586588097371,0.0298004543357529,0.4613645952624917,0.0559847430695612,0.0284058942287633
10,100,0.1,31,1.0,10,81,0.022788412643335,0.2470385322653852,0.9368267249795932,0.8653643089048387,0.0298004543357529,0.4613645952624917,0.0559847430695612,0.0283929458776101
11,100,0.1,31,1.0,30,99,0.0227893914703237,0.2470384789641136,0.9368267249795932,0.8653586588097371,0.0298004543357529,0.4613645952624917,0.0559847430695612,0.0284058942287633
12,100,0.1,63,0.7,10,43,0.0227878176846836,0.2470384823752164,0.9368267249795932,0.8653569090933833,0.0298004543357529,0.4613645952624917,0.0559847430695612,0.0281709401133744
13,100,0.1,63,0.7,30,90,0.0227899091272062,0.247038649761263,0.9368267249795932,0.8653420538290342,0.0298004543357529,0.4613645952624917,0.0559847430695612,0.0284087210382042
14,100,0.1,63,1.0,10,43,0.0227878176846836,0.2470384823752164,0.9368267249795932,0.8653569090933833,0.0298004543357529,0.4613645952624917,0.0559847430695612,0.0281709401133744
15,100,0.1,63,1.0,30,90,0.0227899091272062,0.247038649761263,0.9368267249795932,0.8653420538290342,0.0298004543357529,0.4613645952624917,0.0559847430695612,0.0284087210382042
16,300,0.05,31,0.7,10,131,0.0227868702263277,0.2470382485743766,0.9368267249795932,0.8653516109472732,0.0298004543357529,0.4613645952624917,0.0559847430695612,0.0283628365730309
17,300,0.05,31,0.7,30,171,0.023407209471715668,0.25169649498434093,0.938548946561707,0.8741236298309814,0.0303415909780756,0.4699535892954011,0.057002906073510856,0.02839608653572672
18,300,0.05,31,1.0,10,100,0.02340527383242599,0.2516964177281077,0.938548946561707,0.8741434258151783,0.0303415909780756,0.4699535892954011,0.057002906073510856,0.028250962447992578
19,300,0.05,31,1.0,30,171,0.023407209471715668,0.25169649498434093,0.938548946561707,0.8741236298309814,0.0303415909780756,0.4699535892954011,0.057002906073510856,0.02839608653572672
20,300,0.05,63,0.7,10,94,0.023406837036180867,0.25169656314818856,0.938548946561707,0.8741273668424863,0.0303415909780756,0.4699535892954011,0.057002906073510856,0.02821553912482807
21,300,0.05,63,0.7,30,152,0.0234084533795652,0.25169653151169963,0.938548946561707,0.8740920572045867,0.0303415909780756,0.4699535892954011,0.057002906073510856,0.02839905197020702
22,300,0.05,63,1.0,10,94,0.023406837036180867,0.25169656314818856,0.938548946561707,0.8741273668424863,0.0303415909780756,0.4699535892954011,0.057002906073510856,0.02821553912482807
23,300,0.05,63,1.0,30,152,0.0234084533795652,0.25169653151169963,0.938548946561707,0.8740920572045867,0.0303415909780756,0.4699535892954011,0.057002906073510856,0.02839905197020702
24,300,0.1,31,0.7,10,103,0.023408176538696028,0.2516963803284465,0.938548946561707,0.8741140031740268,0.0303415909780756,0.4699535892954011,0.057002906073510856,0.02840730453577774
25,300,0.1,31,0.7,30,103,0.023408176538696028,0.2516963803284465,0.938548946561707,0.8741140031740268,0.0303415909780756,0.4699535892954011,0.057002906073510856,0.02840730453577774
26,300,0.1,31,1.0,10,103,0.023408176538696028,0.2516963803284465,0.938548946561707,0.8741140031740268,0.0303415909780756,0.4699535892954011,0.057002906073510856,0.02840730453577774
27,300,0.1,31,1.0,30,103,0.023408176538696028,0.2516963803284465,0.938548946561707,0.8741140031740268,0.0303415909780756,0.4699535892954011,0.057002906073510856,0.02840730453577774
28,300,0.1,63,0.7,10,64,0.023407260127775782,0.2516963971671061,0.938548946561707,0.8741030283063863,0.0303415909780756,0.4699535892954011,0.057002906073510856,0.028381060716791078
29,300,0.1,63,0.7,30,79,0.023408051108247598,0.25169610448459095,0.938548946561707,0.8740798663649352,0.0303415909780756,0.4699535892954011,0.057002906073510856,0.0284030123873747
30,300,0.1,63,1.0,10,64,0.023407260127775782,0.2516963971671061,0.938548946561707,0.8741030283063863,0.0303415909780756,0.4699535892954011,0.057002906073510856,0.028381060716791078
31,300,0.1,63,1.0,30,79,0.023408051108247598,0.25169610448459095,0.938548946561707,0.8740798663649352,0.0303415909780756,0.4699535892954011,0.057002906073510856,0.0284030123873747
